Submission date,Variety,Sample ID,d15N,N Amount (ug),d15N Comment,Tray Name,Well Id, Material,Analysis,Enriched?,Estimated Enrichment,Sample Weight (g),OurLabID,Analysis Number
11/08/13,Tiltepec,Madi-420-2,1.25,83.66,,Evo-Proj-Prio-4,F9,Plant,15N,No,,3.1,622942,221610
11/08/13,Tiltepec,Madi-420-3,1.08,108.05,,Evo-Proj-Prio-4,F10,Plant,15N,No,,3.6,622943,221611
11/08/13,Tiltepec,Madi-528-1,4.22,141.40,,Evo-Proj-Prio-4,F11,Plant,15N,No,,5,622944,221612
11/08/13,Tiltepec,Madi-528-2,4.95,107.53,,Evo-Proj-Prio-4,F12,Plant,15N,No,,3.6,622945,221613
11/08/13,Tiltepec,Madi-528-3,3.97,91.99,,Evo-Proj-Prio-4,G1,Plant,15N,No,,3.6,622946,221617
11/08/13,Tiltepec,Madi-620-1,2.19,76.88,,Evo-Proj-Prio-4,G2,Plant,15N,No,,3.3,622947,221618
11/08/13,Tiltepec,Madi-620-2,3.37,99.77,,Evo-Proj-Prio-4,G3,Plant,15N,No,,3.7,622948,221619
11/08/13,Tiltepec,Madi-620-3,2.61,67.45,,Evo-Proj-Prio-4,G4,Plant,15N,No,,2.8,622949,221620
11/08/13,Vicente,Madi-429-1,4.39,44.86,,Evo-Proj-Prio-4,C8,Plant,15N,No,,4.6,622905,221561
11/08/13,Vicente,Madi-429-2,1.78,119.39,,Evo-Proj-Prio-4,C9,Plant,15N,No,,4,622906,221562
11/08/13,Vicente,Madi-429-3,2.93,143.44,,Evo-Proj-Prio-4,C10,Plant,15N,No,,4,622907,221563
11/08/13,Vicente,Madi-518-1,4.26,100.29,,Evo-Proj-Prio-4,C11,Plant,15N,No,,3.7,622908,221564
11/08/13,Vicente,Madi-518-2,3.93,108.57,,Evo-Proj-Prio-4,C12,Plant,15N,No,,4.2,622909,221565
11/08/13,Vicente,Madi-518-3,4.32,101.85,,Evo-Proj-Prio-4,D1,Plant,15N,No,,3.8,622910,221569
11/08/13,Vicente,Madi-607-1,3.62,90.43,,Evo-Proj-Prio-4,D2,Plant,15N,No,,3,622911,221570
11/08/13,Vicente,Madi-607-2,3.65,122.98,,Evo-Proj-Prio-4,D3,Plant,15N,No,,3.7,622912,221571
11/08/13,Vicente,Madi-607-3,3.48,139.87,,Evo-Proj-Prio-4,D4,Plant,15N,No,,4.3,622913,221572
11/08/13,Vidal,Madi-428-1,2.00,136.30,,Evo-Proj-Prio-4,E2,Plant,15N,No,,4.7,622923,221588
11/08/13,Vidal,Madi-428-2,2.43,126.06,,Evo-Proj-Prio-4,E3,Plant,15N,No,,4.2,622924,221589
11/08/13,Vidal,Madi-428-3,2.29,119.39,,Evo-Proj-Prio-4,E4,Plant,15N,No,,4.2,622925,221590
11/08/13,Vidal,Madi-505-1,4.35,140.89,,Evo-Proj-Prio-4,E5,Plant,15N,No,,4.9,622926,221591
11/08/13,Vidal,Madi-505-2,3.43,141.91,,Evo-Proj-Prio-4,E6,Plant,15N,No,,2.9,622927,221592
11/08/13,Vidal,Madi-505-3,3.95,133.74,,Evo-Proj-Prio-4,E7,Plant,15N,No,,4.5,622928,221593
11/08/13,Vidal,Madi-602-1,3.82,113.72,,Evo-Proj-Prio-4,E8,Plant,15N,No,,4,622929,221594
11/08/13,Vidal,Madi-602-2,4.64,101.85,,Evo-Proj-Prio-4,E9,Plant,15N,No,,3.5,622930,221595
11/08/13,Vidal,Madi-602-3,3.78,147.51,,Evo-Proj-Prio-4,E10,Plant,15N,No,,4.9,622931,221596
11/08/13,Villa Alta,Madi-407-1,-0.85,100.81,,Evo-Proj-Prio-4,G5,Plant,15N,No,,3.5,622950,221621
11/08/13,Villa Alta,Madi-407-2,0.38,104.43,,Evo-Proj-Prio-4,G6,Plant,15N,No,,4,622951,221622
11/08/13,Villa Alta,Madi-407-3,-0.34,81.58,,Evo-Proj-Prio-4,G7,Plant,15N,No,,3.4,622952,221623
11/08/13,Villa Alta,Madi-529-1,0.28,105.98,,Evo-Proj-Prio-4,G8,Plant,15N,No,,3.6,622953,221624
11/08/13,Villa Alta,Madi-529-2,0.11,124.01,,Evo-Proj-Prio-4,G9,Plant,15N,No,,3.3,622954,221625
11/08/13,Villa Alta,Madi-529-3,0.23,108.57,,Evo-Proj-Prio-4,G10,Plant,15N,No,,3.7,622955,221626
11/08/13,Villa Alta,Madi-605-1,0.28,108.05,,Evo-Proj-Prio-4,G11,Plant,15N,No,,3.2,622956,221627
11/08/13,Villa Alta,Madi-605-2,2.06,148.01,,Evo-Proj-Prio-4,G12,Plant,15N,No,,4.3,622957,221628
11/08/13,Villa Alta,Madi-605-3,2.08,155.63,,Evo-Proj-Prio-4,H1,Plant,15N,No,,5,622958,221631
