d15N	NDFA	Type
3.17919461206325	36.448733872504	Cristobal
3.69056690413543	26.2265359295427	Cristobal
1.26567357665446	74.6995172943169	Cristobal
3.31461539673075	33.7417079191563	Ildefonso
2.10934903010791	57.8346663461518	Ildefonso
-0.779199099397047	115.575985548098	Ildefonso
1.35137784466635	72.9863114641298	Ildefonso
1.90413780885965	61.9367848149023	Ildefonso
2.43338791961623	51.3572139672813	Ildefonso
3.30033642598281	34.0271407978439	Ildefonso
2.48387830651883	50.3479243809338	Ildefonso
0.0804118345649047	98.392588525772	Ildefonso
-0.447281767615298	108.941045175353	Ildefonso
2.55165398399915	48.9931063713099	Ildefonso
3.56426548394611	28.7512681797408	Ildefonso
1.62099160574597	67.596803122303	Ildefonso
1.39920654164598	72.0302283609596	Ildefonso
-0.653682684012189	113.066945337969	Ildefonso
0.581567857888987	88.3746111145065	Ildefonso
0.739838254409078	85.2108274155826	Ildefonso
1.76538372440037	64.7104425564855	Ildefonso
0.134818854629599	97.3050064701735	Ildefonso
3.09387998291682	38.1541509240052	 Chinantequilla
3.25708124048931	34.8918006064195	 Chinantequilla
2.15739164973569	56.8743069853747	 Chinantequilla
1.33403949976347	73.332900429446	 Chinantequilla
2.82354859788774	43.5580043802892	 Chinantequilla
2.24648055528553	55.0934431388765	 Chinantequilla
3.38337178261136	32.367285805932	 Chinantequilla
5.87764459935704	-17.4925733452228	 Chinantequilla
7.36751703306948	-47.2747323774537	 Chinantequilla
4.68423710108145	6.36332941508049	 Chinantequilla
5.25658592504181	-5.07777340110034	 Chinantequilla
3.16537137672302	36.7250567199688	 Chinantequilla
8.51590112552763	-70.2306290688571	 Chinantequilla
8.00078162438931	-59.933525399869	 Chinantequilla
9.47929488556506	-89.4886175535488	 Chinantequilla
7.37158869598723	-47.3561238508431	 Chinantequilla
11.3467267697359	-126.818090935139	 Chinantequilla
10.2878753716967	-105.651929313285	 Chinantequilla
8.97659652267389	-79.4398091790216	 Chinantequilla
13.6740968464586	-173.341608105731	 Chinantequilla
11.1009368709011	-121.904815348603	 Chinantequilla
11.7982016462768	-135.842955257713	 Chinantequilla
11.9733486274763	-139.344097456245	 Chinantequilla
12.2894135663055	-145.662152653271	 Chinantequilla
8.41362626276812	-68.1861813975131	 Chinantequilla
1.10943576586659	77.8226701377703	 Comaltepec
2.28410816176564	54.3412771581957	 Comaltepec
2.01032270678894	59.8141765664422	 Comaltepec
3.41713762489365	31.6923154783029	 Comaltepec
2.12914877376418	57.4388746655855	 Comaltepec
1.3404994692092	73.2037673352141	 Comaltepec
1.40992867696476	71.8158956892467	 Comaltepec
0.670325973150313	86.6003596790819	 Comaltepec
1.63410398429101	67.334690115657	 Comaltepec
-0.469540641000983	109.385994213976	 Comaltepec
2.22444408636789	55.5339463705382	 Comaltepec
5.50423914431482	-10.0282962742931	 Comaltepec
4.62811967591558	7.48510201986978	 Comaltepec
3.67316875670951	26.5743203316032	 Comaltepec
3.50050037196628	30.0259160373156	 Comaltepec
-0.324273817727758	106.482148532336	 Comaltepec
0.506337863991014	89.8784389534312	 Comaltepec
6.74438545098075	-34.8184955508355	 Comaltepec
7.51235763572606	-50.1700580208001	 Comaltepec
5.34463669897855	-6.83788526904108	 Comaltepec
3.14291413458394	37.1739710979232	 Comaltepec
4.39843549622066	12.0764285066727	 Comaltepec
3.67305365593058	26.5766211659734	 Comaltepec
5.10210969997549	-1.98983419400998	 Comaltepec
5.99143396244938	-19.7671928570073	 Metepec
6.86086598343899	-37.1469108321264	 Metepec
6.89674653670201	-37.8641536773953	 Metepec
7.78024282627847	-55.5250126913361	 Metepec
6.3790096736545	-27.5147296305946	 Metepec
5.92597080492978	-18.4586015146315	 Metepec
6.30686193231536	-26.0725152115893	 Metepec
5.57853074634022	-11.5133659059034	 Metepec
6.9285857084143	-38.5006103658564	 Metepec
7.00633413660371	-40.0547810454716	 Metepec
