GID,SampleID,number,colldate,flowering_season_start,growing_season_start,elevation,latitude,longitude,dist
5809,SEEDGWAS1188,CIMMYTMA-000601,1946-01-01,7,5,913,19.772796,-104.344955,8.74359868335258
5814,SEEDGWAS2336,CIMMYTMA-000602,1943-01-01,7,5,1606,20.321879,-103.180173,7.83816608337332
5814,SEEDGWAS4303,CIMMYTMA-000602,1943-01-01,7,5,1606,20.321879,-103.180173,7.83816608337332
5828,SEEDGWAS2682,CIMMYTMA-000610,1946-01-01,7,5,1511,19.735479,-103.462153,7.89158808376007
5830,SEEDGWAS2337,CIMMYTMA-000622,1945-02-07,7,5,1359,20.01666667,-103.5,8.02123936439308
5837,SEEDGWAS3384,CIMMYTMA-000627,1952-01-01,7,5,860,21.43333333,-104.6,9.59308214952027
5841,SEEDGWAS3813,CIMMYTMA-000636,1950-01-01,8,6,390,29.43544,-110.367266,18.873154007055
5853,SEEDGWAS3174,CIMMYTMA-000651,1953-02-03,7,5,311,22.770949,-99.278792,6.45833558714666
5870,SEEDGWAS2339,CIMMYTMA-000654,1952-01-14,7,5,903,21.7722222,-99.9072222,6.01248614419391
5872,SEEDGWAS5195,CIMMYTMA-000656,1952-01-14,7,5,943,21.79805556,-99.9322222,6.04837557130636
5875,SEEDGWAS596,CIMMYTMA-000659,1952-01-16,7,5,928,21.591941,-99.57213,5.6588414434657
5876,SEEDGWAS4890,CIMMYTMA-000661,1945-01-01,7,5,21,22.01666667,-98.76666667,5.54859830502766
5876,SEEDGWAS2096,CIMMYTMA-000661,1945-01-01,7,5,21,22.01666667,-98.76666667,5.54859830502766
5884,SEEDGWAS1091,CIMMYTMA-000668,1952-02-02,7,5,1406,25.552339,-100.9672228,9.7119815295401
5885,SEEDGWAS3816,CIMMYTMA-000672,1952-02-04,10,8,329,28.41666667,-100.7833333,12.1852367842402
5896,SEEDGWAS2686,CIMMYTMA-000678,1944-01-01,7,5,1414,18.75027778,-97.24166667,1.98377560464582
5896,SEEDGWAS4309,CIMMYTMA-000678,1944-01-01,7,5,1414,18.75027778,-97.24166667,1.98377560464582
5914,SEEDGWAS38,CIMMYTMA-000680,1948-01-01,8,6,109,20.43027778,-97.382222,3.50488012343549
5915,SEEDGWAS692,CIMMYTMA-000682,1948-01-01,8,6,109,20.43027778,-97.382222,3.50488012343549
5916,SEEDGWAS3386,CIMMYTMA-000685,1952-02-07,7,5,1177,18.83333333,-97.08333333,1.95540552023251
5920,SEEDGWAS2097,CIMMYTMA-000697,1959-07-08,7,5,126,21.18333333,-97.73333333,4.33554413292677
5926,SEEDGWAS1189,CIMMYTMA-000705,1947-01-01,7,5,827,18.9,-96.91666667,1.92476536971254
5958,SEEDGWAS693,CIMMYTMA-000725,1948-01-01,7,5,76,19.744273,-89.82814,6.653960697095
5962,SEEDGWAS694,CIMMYTMA-000729,1948-01-01,7,5,71,19.742201,-89.966607,6.52528265627107
5972,SEEDGWAS2098,CIMMYTMA-000745,1944-01-01,7,5,812,16.76666667,-93.38333333,2.63865469150479
5977,SEEDGWAS1191,CIMMYTMA-000751,1946-01-01,7,5,446,16.71666667,-93,3.02494233315102
5978,SEEDGWAS46,CIMMYTMA-000752,1944-01-01,7,5,633,16.782368,-93.176559,2.84017533058736
5985,SEEDGWAS48,CIMMYTMA-000761,1944-01-01,7,5,93,15.332888,-92.659404,3.8206187087803
6283,SEEDGWAS1192,CIMMYTMA-000762,1944-01-01,7,5,93,15.332888,-92.659404,3.8206187087803
6296,SEEDGWAS49,CIMMYTMA-000763,1946-01-01,7,5,111,15.2757778,-92.61416667,3.88823001452876
6297,SEEDGWAS695,CIMMYTMA-000771,1944-01-01,7,5,475,16.576234,-92.720579,3.32501399876828
6298,SEEDGWAS2342,CIMMYTMA-000790,1946-01-01,7,5,1163,15.389566,-92.182995,4.21673653177964
6477,SEEDGWAS1195,CIMMYTMA-000815,1944-01-01,7,5,31,20.85,-88.51666667,8.30374703205996
6480,SEEDGWAS2099,CIMMYTMA-000827,,7,5,14,20.579844,-89.986872,6.875209382837
6483,SEEDGWAS1196,CIMMYTMA-000828,1948-01-01,7,5,28,21.01666667,-88.28333333,8.58661705271641
6485,SEEDGWAS696,CIMMYTMA-000830,1948-01-01,7,5,31,20.85,-88.51666667,8.30374703205996
6623,SEEDGWAS697,CIMMYTMA-000833,1948-01-01,7,5,17,21.15474,-88.137823,8.77840794867891
6630,SEEDGWAS52,CIMMYTMA-000835,1948-01-01,7,5,17,21.15474,-88.137823,8.77840794867891
6638,SEEDGWAS53,CIMMYTMA-000836,1948-01-01,7,5,72,19.841513,-89.31613,7.16529220387592
6649,SEEDGWAS54,CIMMYTMA-000837,1948-01-01,7,5,45,20.485433,-89.732539,7.05388239150555
6650,SEEDGWAS55,CIMMYTMA-000838,1948-01-01,7,5,72,19.841513,-89.31613,7.16529220387592
6664,SEEDGWAS2343,CIMMYTMA-000852,1953-03-09,7,5,1884,25.01805556,-100.6222222,9.07639556619121
6664,SEEDGWAS4311,CIMMYTMA-000852,1953-03-09,7,5,1884,25.01805556,-100.6222222,9.07639556619121
6676,SEEDGWAS700,CIMMYTMA-000854,1952-01-01,7,5,42,18.933399,-103.847703,8.0495642277532
6681,SEEDGWAS701,CIMMYTMA-000860,1943-01-01,8,6,22,25.578765,-108.398102,14.9683389955253
6684,SEEDGWAS1197,CIMMYTMA-000875,1958-01-01,8,6,48,15.281744,-88.003548,8.21102281461659
6688,SEEDGWAS1198,CIMMYTMA-000880,1958-12-20,10,8,16,15.590506,-87.891039,8.25406698424219
6690,SEEDGWAS1199,CIMMYTMA-000881,1958-12-21,8,6,131,15.361949,-88.19682,8.00435903484426
6693,SEEDGWAS1200,CIMMYTMA-000882,1958-01-01,7,5,717,14.638033,-87.02708,9.32007623927858
6694,SEEDGWAS598,CIMMYTMA-000892,1958-12-09,7,5,893,14.25,-87.25,9.22346021717327
6722,SEEDGWAS1769,CIMMYTMA-000945,1958-11-20,7,5,1388,9.826232,-83.94789,14.1233996507737
6723,SEEDGWAS5196,CIMMYTMA-000946,1958-11-21,7,5,871,9.421917,-83.658268,14.5830502576356
6724,SEEDGWAS4216,CIMMYTMA-000958,1958-12-08,7,5,1844,10.209511,-84.400737,13.5372362507106
6725,SEEDGWAS56,CIMMYTMA-000960,1958-12-17,7,5,47,10.275515,-85.598355,12.4910911912286
6727,SEEDGWAS57,CIMMYTMA-000962,1958-01-01,7,5,96,10.730766,-85.481812,12.3429678398367
6733,SEEDGWAS1770,CIMMYTMA-000979,1958-11-17,7,5,958,9.811291,-84.176335,13.9371731521633
6747,SEEDGWAS59,CIMMYTMA-000996,1958-01-01,8,6,143,8.481494,-82.617824,15.9668430871293
6756,SEEDGWAS702,CIMMYTMA-001056,1959-01-01,7,5,56,16.320169,-61.700681,34.2943717950498
6760,SEEDGWAS3388,CIMMYTMA-001059,1946-01-01,7,5,870,19.8,-104.2,8.61320068138308
6769,SEEDGWAS2689,CIMMYTMA-001062,1945-02-09,7,5,1794,21.18333333,-102.85,7.93004145401804
6769,SEEDGWAS4313,CIMMYTMA-001062,1945-02-09,7,5,1794,21.18333333,-102.85,7.93004145401804
6776,SEEDGWAS1204,CIMMYTMA-001063,1953-01-15,7,5,1042,14.348233,-89.870508,6.7523731452713
6778,SEEDGWAS1205,CIMMYTMA-001065,1952-10-18,7,5,313,14.902827,-89.880527,6.52672173600469
6782,SEEDGWAS1206,CIMMYTMA-001069,1952-08-21,7,5,276,14.9483,-89.55933,6.81273097888783
6783,SEEDGWAS1207,CIMMYTMA-001070,1952-10-19,7,5,137,15.115625,-89.367104,6.94181991024004
6784,SEEDGWAS703,CIMMYTMA-001071,1952-09-02,7,5,891,14.761569,-90.379625,6.11792853332466
6790,SEEDGWAS1208,CIMMYTMA-001073,1952-08-26,7,5,627,14.762413,-89.428169,6.99953839645245
6791,SEEDGWAS704,CIMMYTMA-001074,1952-09-29,7,5,684,14.94144,-91.993184,4.59325015035432
6794,SEEDGWAS705,CIMMYTMA-001077,1952-09-13,7,5,681,14.595978,-91.420921,5.26152203192811
6795,SEEDGWAS1209,CIMMYTMA-001078,1952-09-10,7,5,1839,14.713922,-90.637606,5.90258669513239
6797,SEEDGWAS1210,CIMMYTMA-001079,1952-12-30,7,5,309,14.908968,-89.510475,6.87192588455122
6800,SEEDGWAS64,CIMMYTMA-001085,1953-01-24,7,5,144,15.366112,-90.494655,5.79224826778938
6901,SEEDGWAS706,CIMMYTMA-001087,1953-02-06,7,5,175,15.4,-89.66667,6.57270952077285
6902,SEEDGWAS707,CIMMYTMA-001090,1952-08-05,7,5,284,14.28333333,-90.76666667,5.98481862867299
6933,SEEDGWAS1211,CIMMYTMA-001096,1952-08-21,7,5,294,14.94666,-89.963493,6.43361526714561
6957,SEEDGWAS1212,CIMMYTMA-001098,1952-10-18,7,5,225,14.940676,-89.800183,6.58873879847888
6977,SEEDGWAS65,CIMMYTMA-001099,1952-10-19,7,5,966,14.95,-89.41666667,6.94686159200288
