GBS.name..Sample.Flowcell.Lane.Well.,Additional.file.1.xlsx..Romay.et.al..2013.,Inbred.name,Source,Accession,Seed.lot,Notes
Ames19000:D0D0BACXX:3:G3,VaW6,VaW6,NCRPIS,AMES 19000,11336,
Ames19000:D0D0BACXX:4:F3,VaW6,VaW6,NCRPIS,AMES 19000,10775,
Ames19001:81FENABXX:3:H12,Va16,Va16,NCRPIS,AMES 19001,08ncai01 SD,
Ames19002:81N4HABXX:2:A3,Va17,Va17,NCRPIS,AMES 19002,03ncai01 SD,
Ames19002:81N4HABXX:4:G2,Va17,Va17,NCRPIS,AMES 19002,03ncai02 SD,
Ames19003:81N4HABXX:3:A6,Va18A,Va18A,NCRPIS,AMES 19003,08ncai01 SD,
Ames19004:81N4HABXX:3:D12,Va21A,Va21A,NCRPIS,AMES 19004,08ncai01 SD,
Ames19005:81FE8ABXX:2:B11,Va21C,Va21C,NCRPIS,AMES 19005,92ncao01 SD,
Ames19006:81FE7ABXX:4:B7,Va22B,Va22B,NCRPIS,AMES 19006,08ncai01 SD,
Ames19007:81FE7ABXX:3:E6,Va23,Va23,NCRPIS,AMES 19007,08ncai01 SD,
Ames19008:81FE7ABXX:3:H10,Va24,Va24,NCRPIS,AMES 19008,98ncab01 SD,
Ames19008:D0D0BACXX:3:D3,Va24,Va24,NCRPIS,AMES 19008,11327,
Ames19009:81N4HABXX:6:E12,Va30,Va30,NCRPIS,AMES 19009,08ncai01 SD,
Ames19010:81FENABXX:7:A3,Va37,Va37,NCRPIS,AMES 19010,92ncai01 SD,
Ames19011:81FE7ABXX:4:F10,Va38,Va38,NCRPIS,AMES 19011,92ncai01 SD,
Ames19012:81FENABXX:1:B7,Va39,Va39,NCRPIS,AMES 19012,08ncai01 SD,
Ames19013:81FENABXX:1:B12,Va46,Va46,NCRPIS,AMES 19013,08ncai01 SD,
Ames19014:81N4HABXX:7:E5,Va52,Va52,NCRPIS,AMES 19014,92ncai01 SD,
Ames19015:81FE7ABXX:5:F8,Va58,Va58,NCRPIS,AMES 19015,98ncai04 SD,
Ames19016:81FE7ABXX:3:F9,Va59,Va59,NCRPIS,AMES 19016,04ncai02 SD,
Ames19016:81FE7ABXX:4:B11,Va59,Va59,NCRPIS,AMES 19016,04ncai01 SD,
Ames19016:D0D0BACXX:3:C3,Va59,Va59,NCRPIS,AMES 19016,11326,
Ames19017:81N4HABXX:7:H9,Va60,Va60,NCRPIS,AMES 19017,09ncai01 SD,
Ames19019:81FENABXX:1:E12,Va91,Va91,NCRPIS,AMES 19019,08ncai01 SD,
Ames19282:D0D0BACXX:3:B11,B37T,B37 T,NCRPIS,AMES 19282,10928,
Ames19282:D0D0BACXX:3:F11,B37T,B37 T,NCRPIS,AMES 19282,11154,
Ames19283:81FE7ABXX:2:B1,B37TRf,B37 TRf,NCRPIS,AMES 19283,94ncai01 SD,
Ames19284:81FE8ABXX:7:D9,C103,C103,NCRPIS,AMES 19284,01ncab01 SD,
